# Die implizite Gleichung fuer tau, als zwei Kurven ueber der Frequenz:
#   tau_from_eps(f) = eps0 eps_r(f) / K   -- aus der GEMESSENEN Kurve
#   tau_from_f(f)   = 1 / (2 pi f)        -- die Definition von f*
# Ihr Schnittpunkt ist die Loesung.  Es wird nichts angepasst und keine
# Dispersionsfunktion erfunden; zwischen Messfrequenzen wird logarithmisch
# interpoliert und ausserhalb gar nicht erst gerechnet.
frequency_Hz,eps_r,tau_from_eps_s,tau_from_f_s,is_solution
1.224247076e+09,1.149567367e+01,6.531548575e-11,1.300023061e-10,no
1.233125437e+09,1.148837631e+01,6.527402396e-11,1.290663044e-10,no
1.242068186e+09,1.148107894e+01,6.523256217e-11,1.281370419e-10,no
1.251075788e+09,1.147378157e+01,6.519110038e-11,1.272144699e-10,no
1.260148714e+09,1.146648420e+01,6.514963859e-11,1.262985403e-10,no
1.269287437e+09,1.145918683e+01,6.510817681e-11,1.253892053e-10,no
1.278492436e+09,1.145188946e+01,6.506671502e-11,1.244864174e-10,no
1.287764190e+09,1.144459209e+01,6.502525323e-11,1.235901295e-10,no
1.297103184e+09,1.143729472e+01,6.498379144e-11,1.227002948e-10,no
1.306509905e+09,1.142999736e+01,6.494232965e-11,1.218168668e-10,no
1.315984845e+09,1.142269999e+01,6.490086787e-11,1.209397993e-10,no
1.325528498e+09,1.141540262e+01,6.485940608e-11,1.200690467e-10,no
1.335141363e+09,1.140810525e+01,6.481794429e-11,1.192045633e-10,no
1.344823940e+09,1.140080788e+01,6.477648250e-11,1.183463042e-10,no
1.354576737e+09,1.139351051e+01,6.473502071e-11,1.174942244e-10,no
1.364400263e+09,1.138621314e+01,6.469355893e-11,1.166482794e-10,no
1.374295029e+09,1.137891577e+01,6.465209714e-11,1.158084252e-10,no
1.384261553e+09,1.137161841e+01,6.461063535e-11,1.149746179e-10,no
1.394300355e+09,1.136432104e+01,6.456917356e-11,1.141468138e-10,no
1.404411960e+09,1.135702367e+01,6.452771177e-11,1.133249699e-10,no
1.414596895e+09,1.134972630e+01,6.448624999e-11,1.125090431e-10,no
1.424855693e+09,1.134242893e+01,6.444478820e-11,1.116989909e-10,no
1.435188888e+09,1.133513156e+01,6.440332641e-11,1.108947710e-10,no
1.445597020e+09,1.132783419e+01,6.436186462e-11,1.100963414e-10,no
1.456080634e+09,1.132053682e+01,6.432040283e-11,1.093036604e-10,no
1.466640275e+09,1.131323946e+01,6.427894105e-11,1.085166866e-10,no
1.477276496e+09,1.130594209e+01,6.423747926e-11,1.077353789e-10,no
1.487989852e+09,1.129864472e+01,6.419601747e-11,1.069596966e-10,no
1.498780903e+09,1.129134735e+01,6.415455568e-11,1.061895990e-10,no
1.509650211e+09,1.128404998e+01,6.411309389e-11,1.054250461e-10,no
1.520598344e+09,1.127675261e+01,6.407163211e-11,1.046659979e-10,no
1.531625875e+09,1.126945524e+01,6.403017032e-11,1.039124147e-10,no
1.542733378e+09,1.126215787e+01,6.398870853e-11,1.031642573e-10,no
1.553921434e+09,1.125486051e+01,6.394724674e-11,1.024214865e-10,no
1.565190626e+09,1.124756314e+01,6.390578495e-11,1.016840635e-10,no
1.576541544e+09,1.124026577e+01,6.386432317e-11,1.009519500e-10,no
1.587974780e+09,1.123296840e+01,6.382286138e-11,1.002251075e-10,no
1.599490931e+09,1.122567103e+01,6.378139959e-11,9.950349826e-11,no
1.611090599e+09,1.121837366e+01,6.373993780e-11,9.878708450e-11,no
1.622774388e+09,1.121107629e+01,6.369847601e-11,9.807582884e-11,no
1.634542909e+09,1.120377892e+01,6.365701423e-11,9.736969414e-11,no
1.646396777e+09,1.119648156e+01,6.361555244e-11,9.666864352e-11,no
1.658336610e+09,1.118918419e+01,6.357409065e-11,9.597264039e-11,no
1.670363032e+09,1.118188682e+01,6.353262886e-11,9.528164841e-11,no
1.682476670e+09,1.117458945e+01,6.349116707e-11,9.459563148e-11,no
1.694678159e+09,1.116729208e+01,6.344970529e-11,9.391455380e-11,no
1.706968133e+09,1.115999471e+01,6.340824350e-11,9.323837980e-11,no
1.719347236e+09,1.115269734e+01,6.336678171e-11,9.256707418e-11,no
1.731816113e+09,1.114539997e+01,6.332531992e-11,9.190060187e-11,no
1.744375415e+09,1.113810261e+01,6.328385814e-11,9.123892810e-11,no
1.757025799e+09,1.113080524e+01,6.324239635e-11,9.058201829e-11,no
1.769767925e+09,1.112350787e+01,6.320093456e-11,8.992983817e-11,no
1.782602458e+09,1.111621050e+01,6.315947277e-11,8.928235366e-11,no
1.795530068e+09,1.110891313e+01,6.311801098e-11,8.863953097e-11,no
1.808551431e+09,1.110161576e+01,6.307654920e-11,8.800133653e-11,no
1.821667226e+09,1.109431839e+01,6.303508741e-11,8.736773702e-11,no
1.834878137e+09,1.108702102e+01,6.299362562e-11,8.673869934e-11,no
1.848184856e+09,1.107972366e+01,6.295216383e-11,8.611419067e-11,no
1.861588076e+09,1.107242629e+01,6.291070204e-11,8.549417839e-11,no
1.875088498e+09,1.106512892e+01,6.286924026e-11,8.487863013e-11,no
1.888686826e+09,1.105783155e+01,6.282777847e-11,8.426751374e-11,no
1.902383771e+09,1.105053418e+01,6.278631668e-11,8.366079732e-11,no
1.916180047e+09,1.104323681e+01,6.274485489e-11,8.305844919e-11,no
1.930076375e+09,1.103593944e+01,6.270339310e-11,8.246043789e-11,no
1.944073481e+09,1.102864207e+01,6.266193132e-11,8.186673221e-11,no
1.958172095e+09,1.102134471e+01,6.262046953e-11,8.127730114e-11,no
1.972372954e+09,1.101404734e+01,6.257900774e-11,8.069211391e-11,no
1.986676799e+09,1.100674997e+01,6.253754595e-11,8.011113996e-11,no
2.001084377e+09,1.099933158e+01,6.249539656e-11,7.953434896e-11,no
2.015596439e+09,1.099042091e+01,6.244476843e-11,7.896171078e-11,no
2.030213745e+09,1.098151025e+01,6.239414029e-11,7.839319553e-11,no
2.044937057e+09,1.097259958e+01,6.234351215e-11,7.782877353e-11,no
2.059767144e+09,1.096368891e+01,6.229288401e-11,7.726841530e-11,no
2.074704780e+09,1.095477824e+01,6.224225587e-11,7.671209158e-11,no
2.089750745e+09,1.094586758e+01,6.219162773e-11,7.615977333e-11,no
2.104905826e+09,1.093695691e+01,6.214099959e-11,7.561143171e-11,no
2.120170812e+09,1.092804624e+01,6.209037145e-11,7.506703809e-11,no
2.135546501e+09,1.091913557e+01,6.203974331e-11,7.452656404e-11,no
2.151033697e+09,1.091022491e+01,6.198911517e-11,7.398998134e-11,no
2.166633207e+09,1.090131424e+01,6.193848703e-11,7.345726197e-11,no
2.182345847e+09,1.089240357e+01,6.188785890e-11,7.292837812e-11,no
2.198172436e+09,1.088349291e+01,6.183723076e-11,7.240330218e-11,no
2.214113801e+09,1.087458224e+01,6.178660262e-11,7.188200672e-11,no
2.230170774e+09,1.086567157e+01,6.173597448e-11,7.136446453e-11,no
2.246344194e+09,1.085676090e+01,6.168534634e-11,7.085064858e-11,no
2.262634906e+09,1.084785024e+01,6.163471820e-11,7.034053205e-11,no
2.279043759e+09,1.083893957e+01,6.158409006e-11,6.983408830e-11,no
2.295571611e+09,1.083002890e+01,6.153346192e-11,6.933129088e-11,no
2.312219324e+09,1.082111823e+01,6.148283378e-11,6.883211355e-11,no
2.328987769e+09,1.081220757e+01,6.143220564e-11,6.833653024e-11,no
2.345877820e+09,1.080329690e+01,6.138157750e-11,6.784451507e-11,no
2.362890359e+09,1.079438623e+01,6.133094937e-11,6.735604236e-11,no
2.380026275e+09,1.078547556e+01,6.128032123e-11,6.687108659e-11,no
2.397286462e+09,1.077656490e+01,6.122969309e-11,6.638962245e-11,no
2.414671822e+09,1.076765423e+01,6.117906495e-11,6.591162479e-11,no
2.432183262e+09,1.075874356e+01,6.112843681e-11,6.543706866e-11,no
2.449821696e+09,1.074983290e+01,6.107780867e-11,6.496592928e-11,no
2.467588047e+09,1.074092223e+01,6.102718053e-11,6.449818206e-11,no
2.485483241e+09,1.073201156e+01,6.097655239e-11,6.403380255e-11,no
2.503508212e+09,1.072310089e+01,6.092592425e-11,6.357276653e-11,no
2.521663903e+09,1.071419023e+01,6.087529611e-11,6.311504991e-11,no
2.539951260e+09,1.070527956e+01,6.082466797e-11,6.266062880e-11,no
2.558371239e+09,1.069636889e+01,6.077403984e-11,6.220947947e-11,no
2.576924802e+09,1.068745822e+01,6.072341170e-11,6.176157837e-11,no
2.595612917e+09,1.067854756e+01,6.067278356e-11,6.131690210e-11,no
2.614436560e+09,1.066963689e+01,6.062215542e-11,6.087542745e-11,no
2.633396713e+09,1.066072622e+01,6.057152728e-11,6.043713136e-11,no
2.652494368e+09,1.065181555e+01,6.052089914e-11,6.000199096e-11,no
2.671730521e+09,1.064290489e+01,6.047027100e-11,5.956998351e-11,no
2.691106176e+09,1.063399422e+01,6.041964286e-11,5.914108648e-11,no
2.710622346e+09,1.062508355e+01,6.036901472e-11,5.871527745e-11,no
2.730280049e+09,1.061617289e+01,6.031838658e-11,5.829253419e-11,no
2.750080311e+09,1.060726222e+01,6.026775844e-11,5.787283464e-11,no
2.770024167e+09,1.059835155e+01,6.021713030e-11,5.745615688e-11,no
2.790112658e+09,1.058944088e+01,6.016650217e-11,5.704247915e-11,no
2.810346832e+09,1.058053022e+01,6.011587403e-11,5.663177985e-11,no
2.830727747e+09,1.057161955e+01,6.006524589e-11,5.622403754e-11,no
2.851256466e+09,1.056270888e+01,6.001461775e-11,5.581923093e-11,no
2.871934061e+09,1.055379821e+01,5.996398961e-11,5.541733888e-11,no
2.892761612e+09,1.054488755e+01,5.991336147e-11,5.501834040e-11,no
2.913740207e+09,1.053597688e+01,5.986273333e-11,5.462221467e-11,no
2.934870941e+09,1.052706621e+01,5.981210519e-11,5.422894100e-11,no
2.956154917e+09,1.051815554e+01,5.976147705e-11,5.383849886e-11,no
2.977593246e+09,1.050924488e+01,5.971084891e-11,5.345086785e-11,no
2.999187048e+09,1.050033421e+01,5.966022077e-11,5.306602774e-11,no
3.020937451e+09,1.049274730e+01,5.961711387e-11,5.268395843e-11,no
3.042845590e+09,1.048521197e+01,5.957430006e-11,5.230463999e-11,no
3.064912608e+09,1.047767664e+01,5.953148625e-11,5.192805259e-11,no
3.087139659e+09,1.047014131e+01,5.948867244e-11,5.155417657e-11,no
3.109527903e+09,1.046260598e+01,5.944585862e-11,5.118299242e-11,no
3.132078508e+09,1.045507066e+01,5.940304481e-11,5.081448076e-11,no
3.154792653e+09,1.044753533e+01,5.936023100e-11,5.044862233e-11,no
3.177671523e+09,1.044000000e+01,5.931741718e-11,5.008539804e-11,no
3.200716313e+09,1.043246467e+01,5.927460337e-11,4.972478893e-11,no
3.223928226e+09,1.042492934e+01,5.923178956e-11,4.936677616e-11,no
3.247308474e+09,1.041739402e+01,5.918897575e-11,4.901134105e-11,no
3.270858278e+09,1.040985869e+01,5.914616193e-11,4.865846502e-11,no
3.294578867e+09,1.040232336e+01,5.910334812e-11,4.830812966e-11,no
3.318471481e+09,1.039478803e+01,5.906053431e-11,4.796031668e-11,no
3.342537366e+09,1.038725270e+01,5.901772050e-11,4.761500790e-11,no
3.366777779e+09,1.037971737e+01,5.897490668e-11,4.727218532e-11,no
3.391193986e+09,1.037218205e+01,5.893209287e-11,4.693183101e-11,no
3.415787262e+09,1.036464672e+01,5.888927906e-11,4.659392722e-11,no
3.440558891e+09,1.035711139e+01,5.884646525e-11,4.625845630e-11,no
3.465510166e+09,1.034957606e+01,5.880365143e-11,4.592540072e-11,no
3.490642390e+09,1.034204073e+01,5.876083762e-11,4.559474311e-11,no
3.515956876e+09,1.033450541e+01,5.871802381e-11,4.526646620e-11,no
3.541454945e+09,1.032697008e+01,5.867521000e-11,4.494055284e-11,no
3.567137928e+09,1.031943475e+01,5.863239618e-11,4.461698602e-11,no
3.593007167e+09,1.031189942e+01,5.858958237e-11,4.429574885e-11,no
3.619064012e+09,1.030436409e+01,5.854676856e-11,4.397682455e-11,no
3.645309824e+09,1.029682877e+01,5.850395475e-11,4.366019646e-11,no
3.671745974e+09,1.028929344e+01,5.846114093e-11,4.334584806e-11,no
3.698373840e+09,1.028175811e+01,5.841832712e-11,4.303376293e-11,no
3.725194815e+09,1.027422278e+01,5.837551331e-11,4.272392478e-11,no
3.752210298e+09,1.026668745e+01,5.833269950e-11,4.241631743e-11,no
3.779421700e+09,1.025915212e+01,5.828988568e-11,4.211092482e-11,no
3.806830442e+09,1.025161680e+01,5.824707187e-11,4.180773100e-11,no
3.834437955e+09,1.024408147e+01,5.820425806e-11,4.150672014e-11,no
3.862245680e+09,1.023654614e+01,5.816144424e-11,4.120787652e-11,no
3.890255070e+09,1.022901081e+01,5.811863043e-11,4.091118454e-11,no
3.918467587e+09,1.022147548e+01,5.807581662e-11,4.061662871e-11,no
3.946884703e+09,1.021394016e+01,5.803300281e-11,4.032419365e-11,no
3.975507903e+09,1.020640483e+01,5.799018899e-11,4.003386409e-11,no
4.004338682e+09,1.019854253e+01,5.794551743e-11,3.974562487e-11,no
4.033378544e+09,1.018882780e+01,5.789032083e-11,3.945946093e-11,no
4.062629006e+09,1.017911308e+01,5.783512422e-11,3.917535735e-11,no
4.092091596e+09,1.016939835e+01,5.777992762e-11,3.889329927e-11,no
4.121767851e+09,1.015968362e+01,5.772473101e-11,3.861327199e-11,no
4.151659321e+09,1.014996889e+01,5.766953441e-11,3.833526086e-11,no
4.181767567e+09,1.014025417e+01,5.761433781e-11,3.805925139e-11,no
4.212094161e+09,1.013053944e+01,5.755914120e-11,3.778522915e-11,no
4.242640687e+09,1.012082471e+01,5.750394460e-11,3.751317984e-11,no
4.273408739e+09,1.011110998e+01,5.744874799e-11,3.724308925e-11,no
4.304399924e+09,1.010139525e+01,5.739355139e-11,3.697494329e-11,no
4.335615860e+09,1.009168053e+01,5.733835478e-11,3.670872794e-11,no
4.367058178e+09,1.008196580e+01,5.728315818e-11,3.644442932e-11,no
4.398728518e+09,1.007225107e+01,5.722796157e-11,3.618203361e-11,no
4.430628534e+09,1.006253634e+01,5.717276497e-11,3.592152713e-11,no
4.462759893e+09,1.005282162e+01,5.711756837e-11,3.566289626e-11,no
4.495124271e+09,1.004310689e+01,5.706237176e-11,3.540612750e-11,no
4.527723359e+09,1.003339216e+01,5.700717516e-11,3.515120745e-11,no
4.560558859e+09,1.002367743e+01,5.695197855e-11,3.489812280e-11,no
4.593632486e+09,1.001396271e+01,5.689678195e-11,3.464686032e-11,no
4.626945965e+09,1.000424798e+01,5.684158534e-11,3.439740691e-11,no
4.660501037e+09,9.994533251e+00,5.678638874e-11,3.414974953e-11,no
4.694299454e+09,9.984818524e+00,5.673119213e-11,3.390387525e-11,no
4.728342980e+09,9.975103796e+00,5.667599553e-11,3.365977125e-11,no
4.762633394e+09,9.965389068e+00,5.662079893e-11,3.341742476e-11,no
4.797172485e+09,9.955674341e+00,5.656560232e-11,3.317682314e-11,no
4.831962056e+09,9.945959613e+00,5.651040572e-11,3.293795382e-11,no
4.867003926e+09,9.936244886e+00,5.645520911e-11,3.270080434e-11,no
4.902299922e+09,9.926530158e+00,5.640001251e-11,3.246536230e-11,no
4.937851888e+09,9.916815430e+00,5.634481590e-11,3.223161542e-11,no
4.973661681e+09,9.907100703e+00,5.628961930e-11,3.199955150e-11,no
5.009731170e+09,9.897867128e+00,5.623715648e-11,3.176915840e-11,no
5.046062239e+09,9.889940551e+00,5.619211969e-11,3.154042411e-11,no
5.082656784e+09,9.882013974e+00,5.614708290e-11,3.131333668e-11,no
5.119516716e+09,9.874087397e+00,5.610204611e-11,3.108788425e-11,no
5.156643960e+09,9.866160820e+00,5.605700933e-11,3.086405506e-11,no
5.194040455e+09,9.858234243e+00,5.601197254e-11,3.064183740e-11,no
5.231708153e+09,9.850307665e+00,5.596693575e-11,3.042121969e-11,no
5.269649020e+09,9.842381088e+00,5.592189896e-11,3.020219041e-11,no
5.307865039e+09,9.834454511e+00,5.587686217e-11,2.998473811e-11,no
5.346358204e+09,9.826527934e+00,5.583182538e-11,2.976885143e-11,no
5.385130525e+09,9.818601357e+00,5.578678859e-11,2.955451912e-11,no
5.424184027e+09,9.810674780e+00,5.574175180e-11,2.934172998e-11,no
5.463520749e+09,9.802748203e+00,5.569671501e-11,2.913047290e-11,no
5.503142745e+09,9.794821626e+00,5.565167822e-11,2.892073684e-11,no
5.543052083e+09,9.786895049e+00,5.560664143e-11,2.871251085e-11,no
5.583250848e+09,9.778968471e+00,5.556160464e-11,2.850578407e-11,no
5.623741138e+09,9.771041894e+00,5.551656785e-11,2.830054570e-11,no
5.664525068e+09,9.763115317e+00,5.547153106e-11,2.809678502e-11,no
5.705604767e+09,9.755188740e+00,5.542649427e-11,2.789449140e-11,no
5.746982380e+09,9.747262163e+00,5.538145748e-11,2.769365427e-11,no
5.788660067e+09,9.739335586e+00,5.533642069e-11,2.749426314e-11,no
5.830640006e+09,9.731409009e+00,5.529138391e-11,2.729630760e-11,no
5.872924387e+09,9.723482432e+00,5.524634712e-11,2.709977732e-11,no
5.915515418e+09,9.715555855e+00,5.520131033e-11,2.690466204e-11,no
5.958415324e+09,9.707629277e+00,5.515627354e-11,2.671095156e-11,no
6.001626344e+09,9.699648369e+00,5.511092805e-11,2.651863578e-11,no
6.045150735e+09,9.690273218e+00,5.505766084e-11,2.632770464e-11,no
6.088990769e+09,9.680898067e+00,5.500439362e-11,2.613814820e-11,no
6.133148736e+09,9.671522917e+00,5.495112640e-11,2.594995653e-11,no
6.177626940e+09,9.662147766e+00,5.489785919e-11,2.576311982e-11,no
6.222427705e+09,9.652772615e+00,5.484459197e-11,2.557762832e-11,no
6.267553369e+09,9.643397464e+00,5.479132476e-11,2.539347233e-11,no
6.313006289e+09,9.634022313e+00,5.473805754e-11,2.521064225e-11,no
6.358788839e+09,9.624647162e+00,5.468479032e-11,2.502912852e-11,no
6.404903408e+09,9.615272011e+00,5.463152311e-11,2.484892167e-11,no
6.451352404e+09,9.605896861e+00,5.457825589e-11,2.467001229e-11,no
6.498138253e+09,9.596521710e+00,5.452498868e-11,2.449239104e-11,no
6.545263398e+09,9.587146559e+00,5.447172146e-11,2.431604863e-11,no
6.592730298e+09,9.577771408e+00,5.441845424e-11,2.414097588e-11,no
6.640541434e+09,9.568396257e+00,5.436518703e-11,2.396716362e-11,no
6.688699301e+09,9.559021106e+00,5.431191981e-11,2.379460280e-11,no
6.737206413e+09,9.549645955e+00,5.425865260e-11,2.362328439e-11,no
6.786065304e+09,9.540270804e+00,5.420538538e-11,2.345319946e-11,no
6.835278524e+09,9.530895654e+00,5.415211816e-11,2.328433911e-11,no
6.884848643e+09,9.521520503e+00,5.409885095e-11,2.311669455e-11,no
6.934778250e+09,9.512145352e+00,5.404558373e-11,2.295025700e-11,no
6.985069951e+09,9.502770201e+00,5.399231652e-11,2.278501779e-11,no
7.035726373e+09,9.496187573e+00,5.395491570e-11,2.262096828e-11,no
7.086750160e+09,9.490776164e+00,5.392416946e-11,2.245809990e-11,no
7.138143977e+09,9.485364755e+00,5.389342321e-11,2.229640416e-11,no
7.189910507e+09,9.479953346e+00,5.386267697e-11,2.213587261e-11,no
7.242052453e+09,9.474541938e+00,5.383193072e-11,2.197649687e-11,no
7.294572537e+09,9.469130529e+00,5.380118448e-11,2.181826862e-11,no
7.347473502e+09,9.463719120e+00,5.377043824e-11,2.166117959e-11,no
7.400758111e+09,9.458307712e+00,5.373969199e-11,2.150522159e-11,no
7.454429144e+09,9.452896303e+00,5.370894575e-11,2.135038646e-11,no
7.508489405e+09,9.447484894e+00,5.367819950e-11,2.119666613e-11,no
7.562941717e+09,9.442073486e+00,5.364745326e-11,2.104405257e-11,no
7.617788922e+09,9.436662077e+00,5.361670702e-11,2.089253781e-11,no
7.673033885e+09,9.431250668e+00,5.358596077e-11,2.074211394e-11,no
7.728679490e+09,9.425839259e+00,5.355521453e-11,2.059277310e-11,no
7.784728642e+09,9.420427851e+00,5.352446828e-11,2.044450750e-11,no
7.841184268e+09,9.415016442e+00,5.349372204e-11,2.029730939e-11,no
7.898049316e+09,9.409605033e+00,5.346297580e-11,2.015117110e-11,no
7.955326754e+09,9.404193625e+00,5.343222955e-11,2.000608498e-11,no
8.013019575e+09,9.397238781e+00,5.339271390e-11,1.986204347e-11,no
8.071130789e+09,9.384968882e+00,5.332299947e-11,1.971903903e-11,no
8.129663432e+09,9.372698984e+00,5.325328504e-11,1.957706422e-11,no
8.188620560e+09,9.360429085e+00,5.318357060e-11,1.943611160e-11,no
8.248005250e+09,9.348159187e+00,5.311385617e-11,1.929617383e-11,no
8.307820604e+09,9.335889289e+00,5.304414174e-11,1.915724360e-11,no
8.368069745e+09,9.323619390e+00,5.297442730e-11,1.901931365e-11,no
8.428755819e+09,9.311349492e+00,5.290471287e-11,1.888237677e-11,no
8.489881994e+09,9.299079594e+00,5.283499844e-11,1.874642583e-11,no
8.551451463e+09,9.286809695e+00,5.276528400e-11,1.861145372e-11,no
8.613467439e+09,9.274539797e+00,5.269556957e-11,1.847745339e-11,no
8.675933161e+09,9.262269898e+00,5.262585514e-11,1.834441784e-11,no
8.738851891e+09,9.250000000e+00,5.255614070e-11,1.821234014e-11,no
8.802226913e+09,9.237730102e+00,5.248642627e-11,1.808121339e-11,no
8.866061538e+09,9.225460203e+00,5.241671184e-11,1.795103073e-11,no
8.930359098e+09,9.213190305e+00,5.234699741e-11,1.782178537e-11,no
8.995122950e+09,9.200920406e+00,5.227728297e-11,1.769347056e-11,no
9.060356476e+09,9.193656174e+00,5.223600946e-11,1.756607960e-11,no
9.126063082e+09,9.186797884e+00,5.219704240e-11,1.743960585e-11,no
9.192246199e+09,9.179939594e+00,5.215807535e-11,1.731404269e-11,no
9.258909282e+09,9.173081305e+00,5.211910830e-11,1.718938357e-11,no
9.326055812e+09,9.166223015e+00,5.208014124e-11,1.706562198e-11,no
9.393689296e+09,9.159364725e+00,5.204117419e-11,1.694275147e-11,no
9.461813265e+09,9.152506436e+00,5.200220714e-11,1.682076560e-11,no
9.530431276e+09,9.145648146e+00,5.196324009e-11,1.669965802e-11,no
9.599546911e+09,9.138789856e+00,5.192427303e-11,1.657942240e-11,no
9.669163779e+09,9.131931566e+00,5.188530598e-11,1.646005246e-11,no
9.739285516e+09,9.125073277e+00,5.184633893e-11,1.634154198e-11,no
9.809915783e+09,9.118214987e+00,5.180737187e-11,1.622388475e-11,no
9.881058268e+09,9.111356697e+00,5.176840482e-11,1.610707465e-11,no
9.952716685e+09,9.104498408e+00,5.172943777e-11,1.599110556e-11,no
1.002489478e+10,9.097391271e+00,5.168905683e-11,1.587597143e-11,no
1.009759631e+10,9.089809784e+00,5.164598075e-11,1.576166626e-11,no
1.017082508e+10,9.082228296e+00,5.160290468e-11,1.564818408e-11,no
1.024458492e+10,9.074646809e+00,5.155982860e-11,1.553551895e-11,no
1.031887966e+10,9.067065321e+00,5.151675252e-11,1.542366500e-11,no
1.039371321e+10,9.059483834e+00,5.147367644e-11,1.531261638e-11,no
1.046908945e+10,9.051902346e+00,5.143060036e-11,1.520236730e-11,no
1.054501232e+10,9.044320859e+00,5.138752428e-11,1.509291200e-11,no
1.062148580e+10,9.036739371e+00,5.134444821e-11,1.498424477e-11,no
1.069851387e+10,9.029157884e+00,5.130137213e-11,1.487635993e-11,no
1.077610056e+10,9.021576396e+00,5.125829605e-11,1.476925185e-11,no
1.085424991e+10,9.013994909e+00,5.121521997e-11,1.466291493e-11,no
1.093296601e+10,9.006413421e+00,5.117214389e-11,1.455734363e-11,no
1.101225297e+10,8.998720528e+00,5.112843484e-11,1.445253242e-11,no
1.109211492e+10,8.990415948e+00,5.108125033e-11,1.434847585e-11,no
1.117255604e+10,8.982111368e+00,5.103406583e-11,1.424516847e-11,no
1.125358053e+10,8.973806788e+00,5.098688132e-11,1.414260490e-11,no
1.133519261e+10,8.965502208e+00,5.093969681e-11,1.404077977e-11,no
1.141739656e+10,8.957197628e+00,5.089251231e-11,1.393968776e-11,no
1.150019665e+10,8.948893048e+00,5.084532780e-11,1.383932361e-11,no
1.158359722e+10,8.940588468e+00,5.079814330e-11,1.373968207e-11,no
1.166760262e+10,8.932283888e+00,5.075095879e-11,1.364075794e-11,no
1.175221723e+10,8.923979308e+00,5.070377429e-11,1.354254605e-11,no
1.183744548e+10,8.915674728e+00,5.065658978e-11,1.344504127e-11,no
1.192329181e+10,8.907370148e+00,5.060940528e-11,1.334823852e-11,no
1.200976071e+10,8.897968430e+00,5.055598711e-11,1.325213274e-11,no
1.209685669e+10,8.879913245e+00,5.045340216e-11,1.315671890e-11,no
1.218458430e+10,8.861858060e+00,5.035081720e-11,1.306199204e-11,no
1.227294811e+10,8.843802875e+00,5.024823225e-11,1.296794720e-11,no
1.236195275e+10,8.825747690e+00,5.014564729e-11,1.287457947e-11,no
1.245160286e+10,8.807692506e+00,5.004306234e-11,1.278188397e-11,no
1.254190313e+10,8.789637321e+00,4.994047738e-11,1.268985588e-11,no
1.263285825e+10,8.771582136e+00,4.983789243e-11,1.259849037e-11,no
1.272447300e+10,8.753526951e+00,4.973530747e-11,1.250778269e-11,no
1.281675214e+10,8.735471766e+00,4.963272252e-11,1.241772809e-11,no
1.290970050e+10,8.717416582e+00,4.953013756e-11,1.232832187e-11,no
