# Young-Laplace-Residuum (gamma*kappa - delta_p) * a / gamma, ausgewertet
# ALLEIN aus den Knotenkoordinaten: Tangentenwinkel aus den Sehnen,
# Meridiankruemmung aus deren Drehung.  Teilt keinen Code mit dem Loeser.
variant,Pi,s_m,s_over_arclength,residual
pi+0.50,5.000000000e-01,3.434872079e-06,6.796874724e-01,1.014779569e-08
pi+0.50,5.000000000e-01,3.454612723e-06,6.835937223e-01,1.014799067e-08
pi+0.50,5.000000000e-01,3.474353367e-06,6.874999721e-01,1.014846262e-08
pi+0.50,5.000000000e-01,3.494094011e-06,6.914062219e-01,1.014840839e-08
pi+0.50,5.000000000e-01,3.513834655e-06,6.953124718e-01,1.014785334e-08
pi+0.50,5.000000000e-01,3.533575300e-06,6.992187216e-01,1.014821160e-08
pi+0.50,5.000000000e-01,3.553315944e-06,7.031249715e-01,1.014934294e-08
pi+0.50,5.000000000e-01,3.573056588e-06,7.070312213e-01,1.014765907e-08
pi+0.50,5.000000000e-01,3.592797232e-06,7.109374711e-01,1.014868607e-08
pi+0.50,5.000000000e-01,3.612537876e-06,7.148437210e-01,1.014775927e-08
pi+0.50,5.000000000e-01,3.632278520e-06,7.187499708e-01,1.014833465e-08
pi+0.50,5.000000000e-01,3.652019164e-06,7.226562207e-01,1.014883125e-08
pi+0.50,5.000000000e-01,3.671759808e-06,7.265624705e-01,1.014802518e-08
pi+0.50,5.000000000e-01,3.691500453e-06,7.304687203e-01,1.014774820e-08
pi+0.50,5.000000000e-01,3.711241097e-06,7.343749702e-01,1.014868366e-08
pi+0.50,5.000000000e-01,3.730981741e-06,7.382812200e-01,1.014753813e-08
pi+0.50,5.000000000e-01,3.750722385e-06,7.421874699e-01,1.014848576e-08
pi+0.50,5.000000000e-01,3.770463029e-06,7.460937197e-01,1.014846825e-08
pi+0.50,5.000000000e-01,3.790203673e-06,7.499999696e-01,1.014811774e-08
pi+0.50,5.000000000e-01,3.809944317e-06,7.539062194e-01,1.014829984e-08
pi+0.50,5.000000000e-01,3.829684962e-06,7.578124692e-01,1.014817478e-08
pi+0.50,5.000000000e-01,3.849425606e-06,7.617187191e-01,1.014944646e-08
pi+0.50,5.000000000e-01,3.869166250e-06,7.656249689e-01,1.014739004e-08
pi+0.50,5.000000000e-01,3.888906894e-06,7.695312188e-01,1.014762365e-08
pi+0.50,5.000000000e-01,3.908647538e-06,7.734374686e-01,1.014809077e-08
pi+0.50,5.000000000e-01,3.928388182e-06,7.773437184e-01,1.014778593e-08
pi+0.50,5.000000000e-01,3.948128826e-06,7.812499683e-01,1.014959778e-08
pi+0.50,5.000000000e-01,3.967869470e-06,7.851562181e-01,1.014711116e-08
pi+0.50,5.000000000e-01,3.987610115e-06,7.890624680e-01,1.014981368e-08
pi+0.50,5.000000000e-01,4.007350759e-06,7.929687178e-01,1.014715130e-08
pi+0.50,5.000000000e-01,4.027091403e-06,7.968749677e-01,1.014904222e-08
pi+0.50,5.000000000e-01,4.046832047e-06,8.007812175e-01,1.014771641e-08
pi+0.50,5.000000000e-01,4.066572691e-06,8.046874673e-01,1.014764840e-08
pi+0.50,5.000000000e-01,4.086313335e-06,8.085937172e-01,1.014862440e-08
pi+0.50,5.000000000e-01,4.106053979e-06,8.124999670e-01,1.014881978e-08
pi+0.50,5.000000000e-01,4.125794624e-06,8.164062169e-01,1.014722374e-08
pi+0.50,5.000000000e-01,4.145535268e-06,8.203124667e-01,1.014886666e-08
pi+0.50,5.000000000e-01,4.165275912e-06,8.242187165e-01,1.014968420e-08
pi+0.50,5.000000000e-01,4.185016556e-06,8.281249664e-01,1.014722726e-08
pi+0.50,5.000000000e-01,4.204757200e-06,8.320312162e-01,1.014921758e-08
pi+0.50,5.000000000e-01,4.224497844e-06,8.359374661e-01,1.014720029e-08
pi+0.50,5.000000000e-01,4.244238488e-06,8.398437159e-01,1.014815838e-08
pi+0.50,5.000000000e-01,4.263979132e-06,8.437499657e-01,1.014770555e-08
pi+0.50,5.000000000e-01,4.283719777e-06,8.476562156e-01,1.014846403e-08
pi+0.50,5.000000000e-01,4.303460421e-06,8.515624654e-01,1.014853083e-08
pi+0.50,5.000000000e-01,4.323201065e-06,8.554687153e-01,1.014837217e-08
pi+0.50,5.000000000e-01,4.342941709e-06,8.593749651e-01,1.014859844e-08
pi+0.50,5.000000000e-01,4.362682353e-06,8.632812150e-01,1.014653407e-08
pi+0.50,5.000000000e-01,4.382422997e-06,8.671874648e-01,1.015068535e-08
pi+0.50,5.000000000e-01,4.402163641e-06,8.710937146e-01,1.014684414e-08
pi+0.50,5.000000000e-01,4.421904285e-06,8.749999645e-01,1.014840859e-08
pi+0.50,5.000000000e-01,4.441644930e-06,8.789062143e-01,1.014834612e-08
pi+0.50,5.000000000e-01,4.461385574e-06,8.828124642e-01,1.014894564e-08
pi+0.50,5.000000000e-01,4.481126218e-06,8.867187140e-01,1.014696900e-08
pi+0.50,5.000000000e-01,4.500866862e-06,8.906249638e-01,1.014963430e-08
pi+0.50,5.000000000e-01,4.520607506e-06,8.945312137e-01,1.014785324e-08
pi+0.50,5.000000000e-01,4.540348150e-06,8.984374635e-01,1.014863476e-08
pi+0.50,5.000000000e-01,4.560088794e-06,9.023437134e-01,1.014858244e-08
pi+0.50,5.000000000e-01,4.579829439e-06,9.062499632e-01,1.014801492e-08
pi+0.50,5.000000000e-01,4.599570083e-06,9.101562131e-01,1.014816794e-08
pi+0.50,5.000000000e-01,4.619310727e-06,9.140624629e-01,1.014873909e-08
pi+0.50,5.000000000e-01,4.639051371e-06,9.179687127e-01,1.014816532e-08
pi+0.50,5.000000000e-01,4.658792015e-06,9.218749626e-01,1.014695743e-08
pi+0.50,5.000000000e-01,4.678532659e-06,9.257812124e-01,1.014792900e-08
pi+0.50,5.000000000e-01,4.698273303e-06,9.296874623e-01,1.015015726e-08
pi+0.50,5.000000000e-01,4.718013947e-06,9.335937121e-01,1.014571210e-08
pi+0.50,5.000000000e-01,4.737754592e-06,9.374999619e-01,1.015098556e-08
pi+0.50,5.000000000e-01,4.757495236e-06,9.414062118e-01,1.014611735e-08
pi+0.50,5.000000000e-01,4.777235880e-06,9.453124616e-01,1.014969396e-08
pi+0.50,5.000000000e-01,4.796976524e-06,9.492187115e-01,1.014902592e-08
pi+0.50,5.000000000e-01,4.816717168e-06,9.531249613e-01,1.014669816e-08
pi+0.50,5.000000000e-01,4.836457812e-06,9.570312112e-01,1.014910007e-08
pi+0.50,5.000000000e-01,4.856198456e-06,9.609374610e-01,1.014656516e-08
pi+0.50,5.000000000e-01,4.875939101e-06,9.648437108e-01,1.015028614e-08
pi+0.50,5.000000000e-01,4.895679745e-06,9.687499607e-01,1.014618677e-08
pi+0.50,5.000000000e-01,4.915420389e-06,9.726562105e-01,1.014756993e-08
pi+0.50,5.000000000e-01,4.935161033e-06,9.765624604e-01,1.014914816e-08
pi+0.50,5.000000000e-01,4.954901677e-06,9.804687102e-01,1.014792135e-08
pi+0.50,5.000000000e-01,4.974642321e-06,9.843749600e-01,1.014863818e-08
pi+0.50,5.000000000e-01,4.994382965e-06,9.882812099e-01,1.014788543e-08
pi+0.50,5.000000000e-01,5.014123609e-06,9.921874597e-01,1.014859643e-08
pi+0.50,5.000000000e-01,5.033864254e-06,9.960937096e-01,1.014953128e-08
pi+0.50,5.000000000e-01,5.053604898e-06,9.999999594e-01,1.014953661e-08
pi+1.00,1.000000000e+00,0.000000000e+00,0.000000000e+00,1.452998514e-08
pi+1.00,1.000000000e+00,1.022653814e-08,1.953124915e-03,1.936670533e-08
pi+1.00,1.000000000e+00,2.045307628e-08,3.906249830e-03,2.154743196e-08
pi+1.00,1.000000000e+00,3.067961442e-08,5.859374745e-03,2.171340770e-08
pi+1.00,1.000000000e+00,4.090615256e-08,7.812499660e-03,2.176883819e-08
pi+1.00,1.000000000e+00,5.113269070e-08,9.765624574e-03,2.176255422e-08
pi+1.00,1.000000000e+00,6.135922884e-08,1.171874949e-02,2.178625461e-08
pi+1.00,1.000000000e+00,7.158576698e-08,1.367187440e-02,2.178290235e-08
pi+1.00,1.000000000e+00,8.181230512e-08,1.562499932e-02,2.178287821e-08
pi+1.00,1.000000000e+00,9.203884326e-08,1.757812423e-02,2.177971127e-08
pi+1.00,1.000000000e+00,1.022653814e-07,1.953124915e-02,2.179370240e-08
pi+1.00,1.000000000e+00,1.124919195e-07,2.148437406e-02,2.178082702e-08
pi+1.00,1.000000000e+00,1.227184577e-07,2.343749898e-02,2.178696872e-08
pi+1.00,1.000000000e+00,1.329449958e-07,2.539062389e-02,2.179759351e-08
pi+1.00,1.000000000e+00,1.431715340e-07,2.734374881e-02,2.177484870e-08
pi+1.00,1.000000000e+00,1.533980721e-07,2.929687372e-02,2.179312652e-08
pi+1.00,1.000000000e+00,1.636246102e-07,3.124999864e-02,2.178444045e-08
pi+1.00,1.000000000e+00,1.738511484e-07,3.320312355e-02,2.179080027e-08
pi+1.00,1.000000000e+00,1.840776865e-07,3.515624847e-02,2.178300115e-08
pi+1.00,1.000000000e+00,1.943042247e-07,3.710937338e-02,2.179225788e-08
pi+1.00,1.000000000e+00,2.045307628e-07,3.906249830e-02,2.178831083e-08
pi+1.00,1.000000000e+00,2.147573009e-07,4.101562321e-02,2.179082059e-08
pi+1.00,1.000000000e+00,2.249838391e-07,4.296874813e-02,2.177819250e-08
pi+1.00,1.000000000e+00,2.352103772e-07,4.492187304e-02,2.178966984e-08
pi+1.00,1.000000000e+00,2.454369154e-07,4.687499796e-02,2.179302813e-08
pi+1.00,1.000000000e+00,2.556634535e-07,4.882812287e-02,2.178518474e-08
pi+1.00,1.000000000e+00,2.658899916e-07,5.078124779e-02,2.178285326e-08
pi+1.00,1.000000000e+00,2.761165298e-07,5.273437270e-02,2.179295147e-08
pi+1.00,1.000000000e+00,2.863430679e-07,5.468749762e-02,2.179067370e-08
pi+1.00,1.000000000e+00,2.965696061e-07,5.664062253e-02,2.179134436e-08
pi+1.00,1.000000000e+00,3.067961442e-07,5.859374745e-02,2.177910199e-08
pi+1.00,1.000000000e+00,3.170226823e-07,6.054687236e-02,2.178860581e-08
pi+1.00,1.000000000e+00,3.272492205e-07,6.249999728e-02,2.179351165e-08
pi+1.00,1.000000000e+00,3.374757586e-07,6.445312219e-02,2.177596645e-08
pi+1.00,1.000000000e+00,3.477022968e-07,6.640624711e-02,2.179953021e-08
pi+1.00,1.000000000e+00,3.579288349e-07,6.835937202e-02,2.178525255e-08
pi+1.00,1.000000000e+00,3.681553730e-07,7.031249694e-02,2.178477909e-08
pi+1.00,1.000000000e+00,3.783819112e-07,7.226562185e-02,2.178912595e-08
pi+1.00,1.000000000e+00,3.886084493e-07,7.421874677e-02,2.178826878e-08
pi+1.00,1.000000000e+00,3.988349875e-07,7.617187168e-02,2.179227256e-08
pi+1.00,1.000000000e+00,4.090615256e-07,7.812499660e-02,2.177987849e-08
pi+1.00,1.000000000e+00,4.192880638e-07,8.007812151e-02,2.179039643e-08
pi+1.00,1.000000000e+00,4.295146019e-07,8.203124643e-02,2.179157274e-08
pi+1.00,1.000000000e+00,4.397411400e-07,8.398437134e-02,2.178080629e-08
pi+1.00,1.000000000e+00,4.499676782e-07,8.593749626e-02,2.179588016e-08
pi+1.00,1.000000000e+00,4.601942163e-07,8.789062117e-02,2.178232185e-08
pi+1.00,1.000000000e+00,4.704207545e-07,8.984374608e-02,2.179683613e-08
pi+1.00,1.000000000e+00,4.806472926e-07,9.179687100e-02,2.177453279e-08
pi+1.00,1.000000000e+00,4.908738307e-07,9.374999591e-02,2.180067372e-08
pi+1.00,1.000000000e+00,5.011003689e-07,9.570312083e-02,2.177876476e-08
pi+1.00,1.000000000e+00,5.113269070e-07,9.765624574e-02,2.179383963e-08
pi+1.00,1.000000000e+00,5.215534452e-07,9.960937066e-02,2.178806474e-08
pi+1.00,1.000000000e+00,5.317799833e-07,1.015624956e-01,2.178461591e-08
pi+1.00,1.000000000e+00,5.420065214e-07,1.035156205e-01,2.178593407e-08
pi+1.00,1.000000000e+00,5.522330596e-07,1.054687454e-01,2.179338267e-08
pi+1.00,1.000000000e+00,5.624595977e-07,1.074218703e-01,2.177801322e-08
pi+1.00,1.000000000e+00,5.726861359e-07,1.093749952e-01,2.180077151e-08
pi+1.00,1.000000000e+00,5.829126740e-07,1.113281201e-01,2.178091153e-08
pi+1.00,1.000000000e+00,5.931392121e-07,1.132812451e-01,2.178898047e-08
pi+1.00,1.000000000e+00,6.033657503e-07,1.152343700e-01,2.178349272e-08
pi+1.00,1.000000000e+00,6.135922884e-07,1.171874949e-01,2.179238565e-08
pi+1.00,1.000000000e+00,6.238188266e-07,1.191406198e-01,2.179409377e-08
pi+1.00,1.000000000e+00,6.340453647e-07,1.210937447e-01,2.177576463e-08
pi+1.00,1.000000000e+00,6.442719028e-07,1.230468696e-01,2.179475577e-08
pi+1.00,1.000000000e+00,6.544984410e-07,1.249999946e-01,2.178590188e-08
pi+1.00,1.000000000e+00,6.647249791e-07,1.269531195e-01,2.178660170e-08
pi+1.00,1.000000000e+00,6.749515173e-07,1.289062444e-01,2.179089383e-08
pi+1.00,1.000000000e+00,6.851780554e-07,1.308593693e-01,2.179419417e-08
pi+1.00,1.000000000e+00,6.954045935e-07,1.328124942e-01,2.177943058e-08
pi+1.00,1.000000000e+00,7.056311317e-07,1.347656191e-01,2.178166709e-08
pi+1.00,1.000000000e+00,7.158576698e-07,1.367187440e-01,2.180367666e-08
pi+1.00,1.000000000e+00,7.260842080e-07,1.386718690e-01,2.177610972e-08
pi+1.00,1.000000000e+00,7.363107461e-07,1.406249939e-01,2.179373540e-08
pi+1.00,1.000000000e+00,7.465372842e-07,1.425781188e-01,2.178536865e-08
pi+1.00,1.000000000e+00,7.567638224e-07,1.445312437e-01,2.178364725e-08
pi+1.00,1.000000000e+00,7.669903605e-07,1.464843686e-01,2.179896882e-08
pi+1.00,1.000000000e+00,7.772168987e-07,1.484374935e-01,2.177906980e-08
pi+1.00,1.000000000e+00,7.874434368e-07,1.503906184e-01,2.179557371e-08
pi+1.00,1.000000000e+00,7.976699749e-07,1.523437434e-01,2.177586564e-08
pi+1.00,1.000000000e+00,8.078965131e-07,1.542968683e-01,2.179862394e-08
pi+1.00,1.000000000e+00,8.181230512e-07,1.562499932e-01,2.178168480e-08
pi+1.00,1.000000000e+00,8.283495894e-07,1.582031181e-01,2.179114656e-08
pi+1.00,1.000000000e+00,8.385761275e-07,1.601562430e-01,2.178461671e-08
pi+1.00,1.000000000e+00,8.488026656e-07,1.621093679e-01,2.179815188e-08
pi+1.00,1.000000000e+00,8.590292038e-07,1.640624929e-01,2.177638961e-08
pi+1.00,1.000000000e+00,8.692557419e-07,1.660156178e-01,2.179460948e-08
pi+1.00,1.000000000e+00,8.794822801e-07,1.679687427e-01,2.177757940e-08
pi+1.00,1.000000000e+00,8.897088182e-07,1.699218676e-01,2.179951291e-08
pi+1.00,1.000000000e+00,8.999353563e-07,1.718749925e-01,2.178230132e-08
pi+1.00,1.000000000e+00,9.101618945e-07,1.738281174e-01,2.179016765e-08
pi+1.00,1.000000000e+00,9.203884326e-07,1.757812423e-01,2.178431750e-08
pi+1.00,1.000000000e+00,9.306149708e-07,1.777343673e-01,2.179777803e-08
pi+1.00,1.000000000e+00,9.408415089e-07,1.796874922e-01,2.178044028e-08
pi+1.00,1.000000000e+00,9.510680470e-07,1.816406171e-01,2.178338105e-08
pi+1.00,1.000000000e+00,9.612945852e-07,1.835937420e-01,2.179734984e-08
pi+1.00,1.000000000e+00,9.715211233e-07,1.855468669e-01,2.177961308e-08
pi+1.00,1.000000000e+00,9.817476615e-07,1.874999918e-01,2.179418009e-08
pi+1.00,1.000000000e+00,9.919741996e-07,1.894531167e-01,2.178280456e-08
pi+1.00,1.000000000e+00,1.002200738e-06,1.914062417e-01,2.178923783e-08
pi+1.00,1.000000000e+00,1.012427276e-06,1.933593666e-01,2.179848168e-08
pi+1.00,1.000000000e+00,1.022653814e-06,1.953124915e-01,2.177550325e-08
pi+1.00,1.000000000e+00,1.032880352e-06,1.972656164e-01,2.179189589e-08
pi+1.00,1.000000000e+00,1.043106890e-06,1.992187413e-01,2.178747860e-08
pi+1.00,1.000000000e+00,1.053333428e-06,2.011718662e-01,2.178120530e-08
pi+1.00,1.000000000e+00,1.063559967e-06,2.031249911e-01,2.179760357e-08
pi+1.00,1.000000000e+00,1.073786505e-06,2.050781161e-01,2.179007408e-08
pi+1.00,1.000000000e+00,1.084013043e-06,2.070312410e-01,2.178177877e-08
pi+1.00,1.000000000e+00,1.094239581e-06,2.089843659e-01,2.178652021e-08
pi+1.00,1.000000000e+00,1.104466119e-06,2.109374908e-01,2.178627171e-08
pi+1.00,1.000000000e+00,1.114692657e-06,2.128906157e-01,2.179485336e-08
pi+1.00,1.000000000e+00,1.124919195e-06,2.148437406e-01,2.178185986e-08
pi+1.00,1.000000000e+00,1.135145734e-06,2.167968656e-01,2.179022358e-08
pi+1.00,1.000000000e+00,1.145372272e-06,2.187499905e-01,2.178618680e-08
pi+1.00,1.000000000e+00,1.155598810e-06,2.207031154e-01,2.179611095e-08
pi+1.00,1.000000000e+00,1.165825348e-06,2.226562403e-01,2.178270717e-08
pi+1.00,1.000000000e+00,1.176051886e-06,2.246093652e-01,2.179024250e-08
pi+1.00,1.000000000e+00,1.186278424e-06,2.265624901e-01,2.178268725e-08
pi+1.00,1.000000000e+00,1.196504962e-06,2.285156150e-01,2.179083146e-08
pi+1.00,1.000000000e+00,1.206731501e-06,2.304687400e-01,2.178233633e-08
pi+1.00,1.000000000e+00,1.216958039e-06,2.324218649e-01,2.179977831e-08
pi+1.00,1.000000000e+00,1.227184577e-06,2.343749898e-01,2.177307317e-08
pi+1.00,1.000000000e+00,1.237411115e-06,2.363281147e-01,2.179636710e-08
pi+1.00,1.000000000e+00,1.247637653e-06,2.382812396e-01,2.178619002e-08
pi+1.00,1.000000000e+00,1.257864191e-06,2.402343645e-01,2.179529502e-08
pi+1.00,1.000000000e+00,1.268090729e-06,2.421874894e-01,2.177792488e-08
pi+1.00,1.000000000e+00,1.278317268e-06,2.441406144e-01,2.179711482e-08
pi+1.00,1.000000000e+00,1.288543806e-06,2.460937393e-01,2.177852632e-08
pi+1.00,1.000000000e+00,1.298770344e-06,2.480468642e-01,2.179278164e-08
pi+1.00,1.000000000e+00,1.308996882e-06,2.499999891e-01,2.178944971e-08
pi+1.00,1.000000000e+00,1.319223420e-06,2.519531140e-01,2.178293877e-08
pi+1.00,1.000000000e+00,1.329449958e-06,2.539062389e-01,2.179467588e-08
pi+1.00,1.000000000e+00,1.339676496e-06,2.558593639e-01,2.178122140e-08
pi+1.00,1.000000000e+00,1.349903035e-06,2.578124888e-01,2.178691560e-08
pi+1.00,1.000000000e+00,1.360129573e-06,2.597656137e-01,2.179463765e-08
pi+1.00,1.000000000e+00,1.370356111e-06,2.617187386e-01,2.178014268e-08
pi+1.00,1.000000000e+00,1.380582649e-06,2.636718635e-01,2.179815510e-08
pi+1.00,1.000000000e+00,1.390809187e-06,2.656249884e-01,2.178366235e-08
pi+1.00,1.000000000e+00,1.401035725e-06,2.675781133e-01,2.177979699e-08
pi+1.00,1.000000000e+00,1.411262263e-06,2.695312383e-01,2.179660655e-08
pi+1.00,1.000000000e+00,1.421488801e-06,2.714843632e-01,2.178454991e-08
pi+1.00,1.000000000e+00,1.431715340e-06,2.734374881e-01,2.178815328e-08
pi+1.00,1.000000000e+00,1.441941878e-06,2.753906130e-01,2.179129365e-08
pi+1.00,1.000000000e+00,1.452168416e-06,2.773437379e-01,2.178870903e-08
pi+1.00,1.000000000e+00,1.462394954e-06,2.792968628e-01,2.178459599e-08
pi+1.00,1.000000000e+00,1.472621492e-06,2.812499877e-01,2.179121055e-08
pi+1.00,1.000000000e+00,1.482848030e-06,2.832031127e-01,2.178162001e-08
pi+1.00,1.000000000e+00,1.493074568e-06,2.851562376e-01,2.179149305e-08
pi+1.00,1.000000000e+00,1.503301107e-06,2.871093625e-01,2.178685302e-08
pi+1.00,1.000000000e+00,1.513527645e-06,2.890624874e-01,2.179221280e-08
pi+1.00,1.000000000e+00,1.523754183e-06,2.910156123e-01,2.177849352e-08
pi+1.00,1.000000000e+00,1.533980721e-06,2.929687372e-01,2.179466844e-08
pi+1.00,1.000000000e+00,1.544207259e-06,2.949218621e-01,2.178902696e-08
pi+1.00,1.000000000e+00,1.554433797e-06,2.968749871e-01,2.178398852e-08
pi+1.00,1.000000000e+00,1.564660335e-06,2.988281120e-01,2.179364586e-08
pi+1.00,1.000000000e+00,1.574886874e-06,3.007812369e-01,2.178096847e-08
pi+1.00,1.000000000e+00,1.585113412e-06,3.027343618e-01,2.180053387e-08
pi+1.00,1.000000000e+00,1.595339950e-06,3.046874867e-01,2.177784339e-08
pi+1.00,1.000000000e+00,1.605566488e-06,3.066406116e-01,2.178263091e-08
pi+1.00,1.000000000e+00,1.615793026e-06,3.085937366e-01,2.179790338e-08
pi+1.00,1.000000000e+00,1.626019564e-06,3.105468615e-01,2.178070790e-08
pi+1.00,1.000000000e+00,1.636246102e-06,3.124999864e-01,2.179431812e-08
pi+1.00,1.000000000e+00,1.646472641e-06,3.144531113e-01,2.178489721e-08
pi+1.00,1.000000000e+00,1.656699179e-06,3.164062362e-01,2.178628740e-08
pi+1.00,1.000000000e+00,1.666925717e-06,3.183593611e-01,2.178679970e-08
pi+1.00,1.000000000e+00,1.677152255e-06,3.203124860e-01,2.179594153e-08
pi+1.00,1.000000000e+00,1.687378793e-06,3.222656110e-01,2.178091293e-08
pi+1.00,1.000000000e+00,1.697605331e-06,3.242187359e-01,2.179498757e-08
pi+1.00,1.000000000e+00,1.707831869e-06,3.261718608e-01,2.177945996e-08
pi+1.00,1.000000000e+00,1.718058408e-06,3.281249857e-01,2.179475094e-08
pi+1.00,1.000000000e+00,1.728284946e-06,3.300781106e-01,2.178111838e-08
pi+1.00,1.000000000e+00,1.738511484e-06,3.320312355e-01,2.179434931e-08
pi+1.00,1.000000000e+00,1.748738022e-06,3.339843604e-01,2.178060025e-08
pi+1.00,1.000000000e+00,1.758964560e-06,3.359374854e-01,2.179105440e-08
pi+1.00,1.000000000e+00,1.769191098e-06,3.378906103e-01,2.178903480e-08
pi+1.00,1.000000000e+00,1.779417636e-06,3.398437352e-01,2.178640512e-08
pi+1.00,1.000000000e+00,1.789644175e-06,3.417968601e-01,2.179531172e-08
pi+1.00,1.000000000e+00,1.799870713e-06,3.437499850e-01,2.177841424e-08
pi+1.00,1.000000000e+00,1.810097251e-06,3.457031099e-01,2.179303497e-08
pi+1.00,1.000000000e+00,1.820323789e-06,3.476562349e-01,2.178265425e-08
pi+1.00,1.000000000e+00,1.830550327e-06,3.496093598e-01,2.179528174e-08
pi+1.00,1.000000000e+00,1.840776865e-06,3.515624847e-01,2.178151397e-08
pi+1.00,1.000000000e+00,1.851003403e-06,3.535156096e-01,2.178636628e-08
pi+1.00,1.000000000e+00,1.861229942e-06,3.554687345e-01,2.179479983e-08
pi+1.00,1.000000000e+00,1.871456480e-06,3.574218594e-01,2.178358830e-08
pi+1.00,1.000000000e+00,1.881683018e-06,3.593749843e-01,2.179186711e-08
pi+1.00,1.000000000e+00,1.891909556e-06,3.613281093e-01,2.178542721e-08
pi+1.00,1.000000000e+00,1.902136094e-06,3.632812342e-01,2.178859696e-08
pi+1.00,1.000000000e+00,1.912362632e-06,3.652343591e-01,2.179361387e-08
pi+1.00,1.000000000e+00,1.922589170e-06,3.671874840e-01,2.178042257e-08
pi+1.00,1.000000000e+00,1.932815709e-06,3.691406089e-01,2.177949275e-08
pi+1.00,1.000000000e+00,1.943042247e-06,3.710937338e-01,2.179946622e-08
pi+1.00,1.000000000e+00,1.953268785e-06,3.730468587e-01,2.178875874e-08
pi+1.00,1.000000000e+00,1.963495323e-06,3.749999837e-01,2.179224721e-08
pi+1.00,1.000000000e+00,1.973721861e-06,3.769531086e-01,2.177700573e-08
pi+1.00,1.000000000e+00,1.983948399e-06,3.789062335e-01,2.178909094e-08
pi+1.00,1.000000000e+00,1.994174937e-06,3.808593584e-01,2.179044271e-08
pi+1.00,1.000000000e+00,2.004401475e-06,3.828124833e-01,2.179423059e-08
pi+1.00,1.000000000e+00,2.014628014e-06,3.847656082e-01,2.177530526e-08
pi+1.00,1.000000000e+00,2.024854552e-06,3.867187331e-01,2.179497409e-08
pi+1.00,1.000000000e+00,2.035081090e-06,3.886718581e-01,2.178373981e-08
pi+1.00,1.000000000e+00,2.045307628e-06,3.906249830e-01,2.180000870e-08
pi+1.00,1.000000000e+00,2.055534166e-06,3.925781079e-01,2.177841525e-08
pi+1.00,1.000000000e+00,2.065760704e-06,3.945312328e-01,2.179260900e-08
pi+1.00,1.000000000e+00,2.075987242e-06,3.964843577e-01,2.178036402e-08
pi+1.00,1.000000000e+00,2.086213781e-06,3.984374826e-01,2.179193673e-08
pi+1.00,1.000000000e+00,2.096440319e-06,4.003906076e-01,2.178790679e-08
pi+1.00,1.000000000e+00,2.106666857e-06,4.023437325e-01,2.178764360e-08
pi+1.00,1.000000000e+00,2.116893395e-06,4.042968574e-01,2.178884828e-08
pi+1.00,1.000000000e+00,2.127119933e-06,4.062499823e-01,2.178157795e-08
pi+1.00,1.000000000e+00,2.137346471e-06,4.082031072e-01,2.179778809e-08
pi+1.00,1.000000000e+00,2.147573009e-06,4.101562321e-01,2.177981711e-08
pi+1.00,1.000000000e+00,2.157799548e-06,4.121093570e-01,2.179510166e-08
pi+1.00,1.000000000e+00,2.168026086e-06,4.140624820e-01,2.177932615e-08
pi+1.00,1.000000000e+00,2.178252624e-06,4.160156069e-01,2.179202225e-08
pi+1.00,1.000000000e+00,2.188479162e-06,4.179687318e-01,2.178567933e-08
pi+1.00,1.000000000e+00,2.198705700e-06,4.199218567e-01,2.179226693e-08
pi+1.00,1.000000000e+00,2.208932238e-06,4.218749816e-01,2.178283636e-08
pi+1.00,1.000000000e+00,2.219158776e-06,4.238281065e-01,2.180376057e-08
pi+1.00,1.000000000e+00,2.229385315e-06,4.257812314e-01,2.177008250e-08
pi+1.00,1.000000000e+00,2.239611853e-06,4.277343564e-01,2.179716613e-08
pi+1.00,1.000000000e+00,2.249838391e-06,4.296874813e-01,2.179267821e-08
pi+1.00,1.000000000e+00,2.260064929e-06,4.316406062e-01,2.177302085e-08
pi+1.00,1.000000000e+00,2.270291467e-06,4.335937311e-01,2.180266575e-08
pi+1.00,1.000000000e+00,2.280518005e-06,4.355468560e-01,2.177783957e-08
pi+1.00,1.000000000e+00,2.290744543e-06,4.374999809e-01,2.179219087e-08
pi+1.00,1.000000000e+00,2.300971082e-06,4.394531059e-01,2.178557470e-08
pi+1.00,1.000000000e+00,2.311197620e-06,4.414062308e-01,2.178541735e-08
pi+1.00,1.000000000e+00,2.321424158e-06,4.433593557e-01,2.179024652e-08
pi+1.00,1.000000000e+00,2.331650696e-06,4.453124806e-01,2.179174880e-08
pi+1.00,1.000000000e+00,2.341877234e-06,4.472656055e-01,2.178722406e-08
pi+1.00,1.000000000e+00,2.352103772e-06,4.492187304e-01,2.178235847e-08
pi+1.00,1.000000000e+00,2.362330310e-06,4.511718553e-01,2.179299875e-08
pi+1.00,1.000000000e+00,2.372556849e-06,4.531249803e-01,2.177924043e-08
pi+1.00,1.000000000e+00,2.382783387e-06,4.550781052e-01,2.179994210e-08
pi+1.00,1.000000000e+00,2.393009925e-06,4.570312301e-01,2.178023162e-08
pi+1.00,1.000000000e+00,2.403236463e-06,4.589843550e-01,2.178229971e-08
pi+1.00,1.000000000e+00,2.413463001e-06,4.609374799e-01,2.179931189e-08
pi+1.00,1.000000000e+00,2.423689539e-06,4.628906048e-01,2.178914426e-08
pi+1.00,1.000000000e+00,2.433916077e-06,4.648437297e-01,2.178280738e-08
